occupants,refrigerator,cooking_range,plug_loads
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
0.24,0.610948905,0.333333333,0.824244608
0.24,0.64149635,0.38,0.84297744
0.24,0.64149635,0.306666667,0.84297744
0.24,0.64149635,0.38,0.824244608
0.24,0.626222628,0.293333333,0.861710272
0.29,0.672043796,0.613333333,0.899175936
0.55,0.733138686,1,0.974107263
0.9,0.763686131,0.78,0.992840095
0.9,0.733138686,0.4,0.936641599
0.9,0.717864964,0.233333333,0.880443104
1,0.702591241,0.166666667,0.84297744
1,0.672043796,0.106666667,0.74931328
1,0.626222628,0.073333333,0.674381952
1,0.610948905,0.046666667,0.65564912
1,0.595675182,0.046666667,0.618183456
1,0.58040146,0.026666667,0.599450624
1,0.565127737,0.026666667,0.580717792
1,0.549854015,0.046666667,0.599450624
1,0.549854015,0.073333333,0.618183456
1,0.58040146,0.166666667,0.693114784
0.88,0.610948905,0.28,0.786778944
0.41,0.626222628,0.306666667,0.805511776
0.24,0.626222628,0.32,0.805511776
0.24,0.610948905,0.28,0.805511776
